loss,recall,precision,accuracy,val_loss,val_recall,val_precision,val_accuracy
0.6357,0.7663,0.8713,0.8157,0.7064,0.7459,0.8507,0.7967
0.6425,0.7628,0.872,0.8152,0.7055,0.747,0.8527,0.7971
0.634,0.7631,0.8745,0.8165,0.7043,0.7495,0.8527,0.7968
0.6391,0.7582,0.8684,0.8129,0.7032,0.7489,0.8526,0.7973
0.6361,0.7636,0.8709,0.8152,0.7027,0.7486,0.8527,0.7976
0.6306,0.7677,0.872,0.8191,0.7017,0.7492,0.8514,0.7975
0.6347,0.7663,0.8729,0.8149,0.7029,0.7487,0.8515,0.7985
0.6264,0.7694,0.8742,0.819,0.7026,0.7477,0.8514,0.7981
0.6303,0.7654,0.8716,0.8179,0.7033,0.7485,0.8505,0.7977
0.6273,0.7658,0.8736,0.8176,0.703,0.7489,0.8499,0.7962
0.6262,0.7674,0.8737,0.8186,0.7015,0.7498,0.8518,0.7966
0.6285,0.7703,0.8743,0.8189,0.7016,0.7485,0.8517,0.7946
0.6232,0.7656,0.8718,0.8181,0.7013,0.7491,0.8508,0.7948
0.6239,0.7673,0.8714,0.8187,0.7004,0.7496,0.8518,0.7956
0.6237,0.7627,0.868,0.8156,0.701,0.7493,0.8513,0.7957
0.6275,0.7644,0.8697,0.8168,0.6999,0.75,0.8526,0.7995
0.6218,0.7683,0.8755,0.8205,0.6995,0.7505,0.8506,0.7992
0.6262,0.7669,0.8717,0.8169,0.6999,0.7504,0.8508,0.7973
0.6272,0.7652,0.8706,0.817,0.6994,0.7509,0.851,0.7969
0.62,0.7679,0.8741,0.818,0.6995,0.7504,0.8514,0.7976
